idx,pass,fail,inconclusive,stage1_fail,pass_pct,fail_pct,inconclusive_pct
1,1,0,0,0,100.0,0.0,0.0
2,1,1,0,0,50.0,50.0,0.0
3,2,1,0,0,66.7,33.3,0.0
4,2,2,0,0,50.0,50.0,0.0
5,2,3,0,0,40.0,60.0,0.0
6,2,4,0,0,33.3,66.7,0.0
7,2,5,0,0,28.6,71.4,0.0
8,3,5,0,0,37.5,62.5,0.0
9,4,5,0,0,44.4,55.6,0.0
10,4,6,0,0,40.0,60.0,0.0
11,5,6,0,0,45.5,54.5,0.0
12,5,7,0,0,41.7,58.3,0.0
13,5,8,0,0,38.5,61.5,0.0
14,5,9,0,0,35.7,64.3,0.0
15,5,10,0,0,33.3,66.7,0.0
16,6,10,0,0,37.5,62.5,0.0
17,7,10,0,0,41.2,58.8,0.0
18,7,11,0,0,38.9,61.1,0.0
19,7,12,0,0,36.8,63.2,0.0
20,7,13,0,0,35.0,65.0,0.0
21,7,14,0,0,33.3,66.7,0.0
22,7,15,0,0,31.8,68.2,0.0
23,7,16,0,0,30.4,69.6,0.0
24,7,17,0,0,29.2,70.8,0.0
25,7,18,0,0,28.0,72.0,0.0
26,7,19,0,0,26.9,73.1,0.0
27,8,19,0,0,29.6,70.4,0.0
28,8,20,0,0,28.6,71.4,0.0
29,8,21,0,0,27.6,72.4,0.0
30,9,21,0,0,30.0,70.0,0.0
31,9,22,0,0,29.0,71.0,0.0
32,10,22,0,0,31.2,68.8,0.0
33,10,23,0,0,30.3,69.7,0.0
34,11,23,0,0,32.4,67.6,0.0
35,11,24,0,0,31.4,68.6,0.0
36,11,25,0,0,30.6,69.4,0.0
37,11,26,0,0,29.7,70.3,0.0
38,11,27,0,0,28.9,71.1,0.0
39,12,27,0,0,30.8,69.2,0.0
40,12,28,0,0,30.0,70.0,0.0
41,13,28,0,0,31.7,68.3,0.0
42,13,29,0,0,31.0,69.0,0.0
43,14,29,0,0,32.6,67.4,0.0
44,15,29,0,0,34.1,65.9,0.0
45,15,30,0,0,33.3,66.7,0.0
46,15,31,0,0,32.6,67.4,0.0
47,15,32,0,0,31.9,68.1,0.0
48,15,33,0,0,31.2,68.8,0.0
49,15,34,0,0,30.6,69.4,0.0
50,16,34,0,0,32.0,68.0,0.0
